Date,Open,High,Low,Close,Adj Close,Volume
1/11/2019,68.417999,69.681999,67.753998,69.452003,69.452003,25195500
1/14/2019,68.475998,68.500000,66.800003,66.879997,66.879997,26236500
1/15/2019,67.000000,69.760002,66.900002,68.886002,68.886002,30283000
1/16/2019,68.956001,70.400002,68.699997,69.209999,69.209999,23458500
1/17/2019,69.241997,70.300003,68.830002,69.461998,69.461998,18383500
1/18/2019,64.599998,65.426003,59.945999,60.452000,60.452000,120754000
1/22/2019,60.964001,61.599998,59.099998,59.784000,59.784000,60333500
1/23/2019,58.500000,58.900002,56.338001,57.518002,57.518002,62650000
1/24/2019,56.605999,58.736000,55.855999,58.301998,58.301998,40061000
1/25/2019,58.877998,59.703999,57.910000,59.408001,59.408001,36248000
1/28/2019,58.582001,59.492001,57.549999,59.276001,59.276001,32116500
1/29/2019,59.054001,59.712002,58.360001,59.492001,59.492001,23108500
1/30/2019,60.090000,61.799999,59.698002,61.754002,61.754002,56251500
1/31/2019,60.200001,62.312000,58.799999,61.403999,61.403999,62846000
2/1/2019,61.084000,63.220001,60.700001,62.442001,62.442001,36417000
2/4/2019,62.596001,63.060001,60.375999,62.577999,62.577999,36760500
2/5/2019,62.498001,64.487999,62.450001,64.269997,64.269997,33714000
2/6/2019,63.917999,64.848000,63.124001,63.444000,63.444000,25192500
2/7/2019,62.660000,62.939999,60.599998,61.501999,61.501999,32603000
2/8/2019,61.366001,61.490002,59.700001,61.160000,61.160000,29221000
2/11/2019,62.320000,63.720001,62.099998,62.568001,62.568001,35648500
2/12/2019,63.240002,63.638000,61.924000,62.362000,62.362000,27588000
2/13/2019,62.470001,62.549999,61.113998,61.633999,61.633999,25708000
2/14/2019,60.675999,61.354000,60.200001,60.754002,60.754002,26004000
2/15/2019,60.900002,61.599998,60.779999,61.576000,61.576000,19524500
2/19/2019,61.312000,62.307999,61.094002,61.127998,61.127998,20842000
2/20/2019,60.882000,61.259998,59.799999,60.512001,60.512001,35710500
2/21/2019,60.362000,60.647999,58.099998,58.245998,58.245998,44546000
2/22/2019,58.897999,59.299999,58.419998,58.942001,58.942001,28703000
2/25/2019,59.582001,60.580002,59.400002,59.754002,59.754002,33132500
2/26/2019,58.444000,60.402000,57.754002,59.571999,59.571999,42912500
2/27/2019,60.355999,63.259998,60.110001,62.948002,62.948002,55919500
2/28/2019,63.784000,64.000000,62.161999,63.976002,63.976002,52603500
3/1/2019,61.388000,61.425999,58.380001,58.958000,58.958000,114557000
3/4/2019,59.624001,59.799999,56.556000,57.071999,57.071999,85484000
3/5/2019,56.400002,56.799999,54.020000,55.307999,55.307999,93823500
3/6/2019,55.296001,56.301998,54.877998,55.248001,55.248001,51677500
3/7/2019,55.768002,56.939999,54.849998,55.318001,55.318001,47212500
3/8/2019,55.382000,57.118000,55.178001,56.827999,56.827999,44098000
3/11/2019,56.703999,58.256001,56.099998,58.183998,58.183998,36961500
3/12/2019,57.298000,57.613998,56.212002,56.672001,56.672001,37520500
3/13/2019,56.779999,58.397999,56.540001,57.792000,57.792000,34223500
3/14/2019,58.490002,59.077999,57.658001,57.992001,57.992001,35517000
3/15/2019,56.702000,56.743999,54.880001,55.085999,55.085999,73927500
3/18/2019,55.200001,55.610001,53.459999,53.897999,53.897999,51405000
3/19/2019,53.500000,54.660000,52.692001,53.493999,53.493999,59003000
3/20/2019,53.938000,54.993999,53.259998,54.720001,54.720001,34541000
3/21/2019,54.520000,55.290001,53.689999,54.804001,54.804001,29735500
3/22/2019,54.515999,54.560001,52.799999,52.905998,52.905998,43728000
3/25/2019,51.942001,52.636002,50.891998,52.084000,52.084000,51075000
3/26/2019,52.888000,54.051998,52.886002,53.554001,53.554001,36754500
3/27/2019,53.750000,55.074001,53.636002,54.966000,54.966000,43896000
3/28/2019,55.431999,56.066002,55.020000,55.723999,55.723999,33870500
3/29/2019,55.740002,56.032001,54.900002,55.972000,55.972000,29956500
4/1/2019,56.523998,57.840000,56.256001,57.835999,57.835999,40552000
4/2/2019,57.660000,57.888000,56.776001,57.175999,57.175999,27394500
4/3/2019,57.464001,59.234001,57.433998,58.362000,58.362000,39597000
4/4/2019,52.377998,54.240002,52.118000,53.556000,53.556000,118603500
4/5/2019,53.972000,55.220001,53.222000,54.992001,54.992001,65191500
4/8/2019,55.537998,56.231998,54.088001,54.639999,54.639999,52052000
4/9/2019,54.330002,55.000000,53.922001,54.462002,54.462002,29520000
4/10/2019,55.348000,55.675999,54.577999,55.212002,55.212002,35306500
4/11/2019,53.660000,54.099998,53.119999,53.683998,53.683998,49179500
4/12/2019,54.043999,54.389999,53.366001,53.540001,53.540001,33730000
4/15/2019,53.726002,53.776001,51.726002,53.276001,53.276001,50193000
4/16/2019,53.150002,55.000000,52.944000,54.672001,54.672001,36364500
4/17/2019,54.950001,54.958000,53.708000,54.245998,54.245998,25632500
4/18/2019,54.245998,54.967999,53.950001,54.652000,54.652000,29381500
4/22/2019,53.799999,53.936001,52.495998,52.549999,52.549999,60735500
4/23/2019,52.029999,53.119999,51.150002,52.779999,52.779999,54719500
4/24/2019,52.770000,53.063999,51.599998,51.731998,51.731998,53637500
4/25/2019,51.000000,51.799999,49.214001,49.526001,49.526001,109247000
4/26/2019,49.299999,49.335999,46.226002,47.028000,47.028000,111803500
4/29/2019,47.172001,48.796001,46.433998,48.293999,48.293999,83572500
4/30/2019,48.411999,48.841999,47.400002,47.737999,47.737999,47323000
5/1/2019,47.770000,48.000000,46.299999,46.801998,46.801998,53522000
5/2/2019,49.104000,49.425999,47.543999,48.820000,48.820000,90796500
5/3/2019,48.771999,51.321999,48.698002,51.006001,51.006001,118534000
5/6/2019,50.004002,51.669998,49.700001,51.068001,51.068001,54169500
5/7/2019,51.360001,51.442001,49.020000,49.411999,49.411999,50657000
5/8/2019,49.388000,50.119999,48.840000,48.967999,48.967999,30882000
5/9/2019,48.400002,48.736000,47.388000,48.396000,48.396000,33557000
5/10/2019,47.950001,48.397999,47.203999,47.903999,47.903999,35041500
5/13/2019,46.402000,46.493999,44.900002,45.402000,45.402000,54174000
5/14/2019,45.860001,46.900002,45.599998,46.462002,46.462002,36262000
5/15/2019,45.863998,46.487999,45.049999,46.389999,46.389999,36480000
5/16/2019,45.897999,46.200001,45.299999,45.666000,45.666000,37416500
5/17/2019,44.391998,44.448002,41.784000,42.206001,42.206001,88933500
5/20/2019,40.560001,41.200001,39.049999,41.071999,41.071999,102631000
